,symbol,Security,GICS Sector,Unnamed: 0,name,sector,legal_name,stock_exchange,sic,short_description,company_url,industry_category,industry_group
2,GOOG,Alphabet Inc Class C,Communication Services,,,,,,,,,,
9,DISCK,Discovery Inc. Class C,Communication Services,,,,,,,,,,
15,FOX,Fox Corporation Class B,Communication Services,,,,,,,,,,
19,NWS,News Corp. Class B,Communication Services,,,,,,,,,,
26,VIAB,Viacom Inc.,Communication Services,,,,,,,,,,
86,UAA,Under Armour Class A,Consumer Discretionary,,,,,,,,,,
94,BF.B,Brown-Forman Corp.,Consumer Staples,,,,,,,,,,
165,BRK.B,Berkshire Hathaway,Financials,,,,,,,,,,
182,GL,Globe Life Inc.,Financials,,,,,,,,,,
320,LHX,L3Harris Technologies,Industrials,,,,,,,,,,
